posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
163,164,22:10:13,00:00:00,Wojciech RZADKOSZ,N/D,N/D,M,SENIOR,bluetrail,2018
164,165,22:16:12,00:00:00,Santi DIAZ PEREZ,N/D,N/D,M,VET-B,bluetrail,2018
165,166,22:19:24,00:00:00,Bernard BERGE,N/D,N/D,M,VET-C,bluetrail,2018
166,167,22:19:25,00:00:00,Michael FREITAG,N/D,N/D,M,VET-A,bluetrail,2018
167,168,22:19:33,00:00:00,Yeray RAMOS GONZALEZ,N/D,N/D,M,SENIOR,bluetrail,2018
168,169,22:22:20,00:00:00,Antonio PEREZ-BARROSO,N/D,N/D,M,VET-B,bluetrail,2018
169,170,22:25:36,00:00:00,Ingerlise HOEFSLOOT,N/D,N/D,F,VET-A,bluetrail,2018
170,171,22:27:15,00:00:00,Jose-Ignacio ALVAREZ-GARCIA,N/D,N/D,M,VET-A,bluetrail,2018
171,172,22:27:18,00:00:00,Isma LADA MARTINEZ,N/D,N/D,M,VET-A,bluetrail,2018
172,173,22:27:20,00:00:00,Victor RUEDA,N/D,N/D,M,VET-A,bluetrail,2018
173,174,22:27:22,00:00:00,Angel RODRIGUEZ-PADILLA,N/D,N/D,M,VET-B,bluetrail,2018
174,175,22:27:23,00:00:00,Marco Antonio MARTINEZ TORCAL,N/D,N/D,M,VET-A,bluetrail,2018
175,176,22:27:29,00:00:00,José-Martin ORELLANA-MIGUEL,N/D,N/D,M,VET-A,bluetrail,2018
176,177,22:36:08,00:00:00,Diego EPIS,N/D,N/D,M,VET-B,bluetrail,2018
177,178,22:36:33,00:00:00,Jesus-Ivan GONZALEZ-DIAZ,N/D,N/D,M,SENIOR,bluetrail,2018
178,179,22:38:37,00:00:00,Jose TORNERO,N/D,N/D,M,VET-A,bluetrail,2018
179,180,22:40:14,00:00:00,Roberto MARFIL-JIMÉNEZ,N/D,N/D,M,SENIOR,bluetrail,2018
180,181,22:41:06,00:00:00,Tomas PADRON-RODRIGUEZ,N/D,N/D,M,VET-C,bluetrail,2018
181,182,22:41:07,00:00:00,David PADRÓN GONZÁLEZ,N/D,N/D,M,VET-A,bluetrail,2018
182,183,22:45:26,00:00:00,Olivier FAVRE BULLE,N/D,N/D,M,VET-B,bluetrail,2018
183,184,22:48:24,00:00:00,Óscar FERRER-GRACIA (Oscar FERRER GRACIA),N/D,N/D,M,VET-A,bluetrail,2018
184,185,22:50:09,00:00:00,Juan-Ignacio SANTANA-DOMÍNGUEZ,N/D,N/D,M,VET-B,bluetrail,2018
185,186,22:51:08,00:00:00,Ciprian CHIVOIU,N/D,N/D,M,SENIOR,bluetrail,2018
186,187,22:51:40,00:00:00,Eduardo GIL,N/D,N/D,M,VET-B,bluetrail,2018
