posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
144,999,00:00:00,00:00:00,Miguel Angel RODRÍGUEZ MEDINA,ABS M,N/D,M,unkwnow,haria,2019
145,999,00:00:00,00:00:00,Alberto MARTIN HERRERA,VET M,N/D,M,unkwnow,haria,2019
146,999,00:00:00,00:00:00,Kiko DUCROS,MALLORCA TRAIL,N/D,M,SENIOR,haria,2019
147,999,00:00:00,00:00:00,John Félix BIGGS GÓMEZ,INDEPENDIENTE,N/D,M,SENIOR,haria,2019
148,999,00:00:00,00:00:00,Juan José TOLEDO GODOY,CARUCAT,N/D,M,SENIOR,haria,2019
149,999,00:00:00,00:00:00,Camille BOUYSSOU,NICE MÉTROPOLE ATHLÉTISME,N/D,F,SENIOR,haria,2019
150,999,00:00:00,00:00:00,Ricardo TURMO ARNAL,YEQUEDA RUNNERS,N/D,M,VET-A,haria,2019
151,999,00:00:00,00:00:00,Manuel Cristofer RODRIGUEZ ROCIO,INDEPENDIENTE,N/D,M,SENIOR,haria,2019
152,999,00:00:00,00:00:00,Juan Miguel HERNANDEZ SANTANA,VEREDAS,N/D,M,SENIOR,haria,2019
153,999,00:00:00,00:00:00,Alejandro ORTEGA GARCIA,MOYACTIVA,N/D,M,SENIOR,haria,2019
154,999,00:00:00,00:00:00,Yaiza MARTIN RODRÍGUEZ,C.M. EL JABLE,N/D,F,SENIOR,haria,2019
155,999,00:00:00,00:00:00,Armando RIGOLLI,ASD LUPID'APPENNINO,N/D,M,VET-A,haria,2019
156,999,00:00:00,00:00:00,Ancor Jesus RUIZ DEL PINO,GB NURUTREK,N/D,M,SENIOR,haria,2019
157,999,00:00:00,00:00:00,Pablo CÓZAR FERNÁNDEZ,THE BOX - EL JABLE,N/D,M,SENIOR,haria,2019
158,999,00:00:00,00:00:00,Francisco MENDOZA MENDOZA,ABS M,N/D,M,unkwnow,haria,2019
